country,co2,consumption_co2,co2_growth_prct,co2_growth_abs,trade_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,trade_co2_share,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
Lebanon,733.437,,3511.4,25.93,,192.917,,3.03,15602.561,1.5,24.991,,9.49,15.112,72.158,,0.579,645.59,,19.36,3.276,,0.118,170.159,,,15.5,0.08,,0.01,7.15,,1576.057,219.282,,0.674,13796.324,,13.74,0,,0,4.27,,544.45,120.579,59.97,13.444,14.49,3.325,255173398,2.12249E+12,2019.789,496217.707,44.698
Leeward Islands,0.179,,103.1,0.016,,,,0,0.672,0,,,,0.037,,,,0.144,,,,,,,,,,0,,,0,,,0.142,,,0.501,,,0,,,0,,,,,,,,,,,,
Lesotho,63.981,,50.52,0.712,,32.134,,0.31,935.785,0,14.465,,33.071,49.525,,,,14.456,,,24.898,,,7.236,,,,0.44,,,0.08,,,736.221,,,199.565,,,0.1,,,0,,112.76,57.326,44.21,22.427,19.46,9.907,61491021,1.19268E+11,67.265,33621.677,14.641
Liberia,52.523,,529.65,0.964,,25.797,,0.15,1693.775,0,12.386,,7.93,,2.368,,,50.152,,0.904,,,,24.892,,,0.37,,,,0.58,,52.932,,,,1640.847,,0.43,,,,0.53,,466.28,167.079,100.32,31.88,24.21,7.704,162375396,3.02363E+11,140.445,56657.562,89.486
Libya,2136.288,,1245.2,50.574,,476.319,,8.66,48556.901,4.43,65.811,,9.358,1.136,72.659,392.325,441.352,1228.832,,15.12,0.756,123.722,81.461,255.26,,,10.78,0,139.72,8.86,12.44,,1564.422,32.545,13183.807,7469.362,26273.351,,7.58,0,150.19,4.91,6.75,,3095.41,559.377,1834.7,335.034,43.61,7.773,271125716,2.61874E+12,6552.98,1274219.264,62.66
Liechtenstein,6.109,,-28.86,-0.058,,180.921,,0,103.47,0,,,,0,,,1.646,4.466,,,0.031,,47.758,133.133,,,,0,,0,0,,,0.017,,24.863,78.584,,,0,,0,0,,1.18,33.867,0.54,16.127,0.27,8.062,1062447,,,,
Lithuania,1557.842,731.533,1837.13,13.791,256.276,489.372,220.033,11.55,62991.717,9.01,18.127,15.353,6.2,184.864,47.068,12.327,289.584,1020.593,3.421,14.321,61.482,3.734,87.415,321.427,0.996,1682.67,13.86,3.59,4.36,9.66,52.41,1.47,1700.998,9435.479,371.972,8217.528,43188.824,74.142,14.17,2.51,3.62,8.61,57.2,1.46,634.84,186.785,124.8,36.73,118.6,35.255,461149942,2.02469E+12,3716.774,1087376.555,83.036
Luxembourg,753.684,471.577,12782.65,8.146,160.801,1974.1,965.421,4.69,27581.788,3.38,81.408,18.578,14.425,358.058,19.856,0,73.649,299.997,2.124,47.84,1055.749,0,163.421,702.603,4.479,1583.21,4.59,6.37,0,1.58,3.35,0.9,538.088,18055.272,0.019,1444.978,7510.594,32.834,3.95,4.11,0,1.05,2.37,0.54,296.13,651.304,15.39,33.981,7.74,16.962,29897002,9.81435E+11,2278.101,5534853.346,167.074
Macao,56.564,,510.84,1.248,,138.815,,0.17,1169.538,0,,,,0.273,1.012,,1.81,53.467,,1.749,1.336,,3.102,132.626,,,0.08,0,,0,0.5,,2.859,5.176,,10.716,1134.514,,0,0,,0,0.29,,,,,,,,23483960,,,,
Madagascar,96.772,92.039,8732.28,3.68,29.975,7.666,4.766,0.46,2256.465,0.07,4.973,3.595,7.362,13.447,2.295,,,81.034,,0.183,0.788,,,6.695,,1498.12,0.4,0.08,,,0.93,,53.526,164.769,,,2037.807,,0.53,0,,,0.62,,1760.61,107.1,543.18,32.386,247.38,14.741,917963483,1.1348E+12,307.651,19436.007,18.199
